,Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_Ind_1_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Total_5_yrs_purchase
86,1,60,1,12,0,8,45,45,17.33,0,19,113,13,6,A,1,45,F,H,64942,20
87,0,0,6,28,3,13,44,42.17,30.04,40.67,17,123,14,6,S,1,73,M,U,44747,41
89,0,0,2,5,2,4,42,41,32.4,41,17,52,14,6,A,0,60,F,U,44284.5,9
90,0,0,3,49,2,16,41,39.33,22.33,38.5,22,147,14,7,S,1,83,F,H,55282,65
91,1,30,3,3,1,1,40,30.67,30.67,25,16,23,14,6,N,0,60,F,U,122735,4
92,0,0,2,2,2,2,40,25,25,25,17,28,13,6,A,0,45,F,H,32042,4
93,0,0,1,5,1,3,40,40,22,40,16,64,15,6,A,0,60,F,U,44284.5,8
94,1,36,3,6,2,5,40,34.67,23.67,36,16,52,15,6,S,1,44,M,H,46974,11
95,0,0,2,3,1,2,40,32.5,23.33,40,24,45,12,6,A,0,57,M,H,82851,5
96,0,0,5,9,1,3,40,33,28.33,30,15,89,15,6,A,0,35,M,U,52057,12
97,0,0,2,4,0,1,40,35,30,0,15,63,12,5,L,0,52,M,H,33698,5
98,1,42,4,7,2,4,40,35.5,30.29,37.5,16,61,15,6,A,0,87,M,H,76519,11
99,0,0,2,3,1,2,40,32.5,26.67,25,24,42,12,6,A,0,50,F,U,44284.5,5
100,0,0,2,2,1,1,40,40,40,40,21,28,13,6,A,0,33,F,H,106850,3
102,1,47,4,82,4,23,39,46.5,26.83,46.5,6,260,18,7,A,1,75,F,H,40411,105
103,0,0,2,4,1,2,38,35.63,29.31,33.25,15,43,13,6,A,0,53,M,H,44965,6
105,1,51,1,6,1,4,36,36,20.83,36,18,89,13,6,A,0,69,M,U,56916,10
106,0,0,2,6,1,2,36,36,31.67,36,21,52,13,6,A,0,33,F,H,57954,8
107,1,5,3,10,3,6,36,33,28.6,33,21,77,14,6,A,1,75,F,U,44284.5,16
109,0,0,2,10,2,6,35,32.5,20.9,32.5,15,87,24,10,S,1,37,F,H,165543,16
110,1,40,1,3,0,1,35,35,30,0,18,57,13,6,A,0,54,M,H,53637,4
111,0,0,3,4,2,2,35,28.33,27.5,30,6,21,26,11,N,1,69,F,H,26733,6
112,0,0,2,7,0,2,35,30,15.86,0,17,75,15,6,A,0,71,F,U,44284.5,9
113,0,0,2,12,0,1,35,27.5,23.42,0,6,52,33,10,A,0,87,M,H,33284,13
114,1,35,1,10,1,4,35,20,33.5,20,7,83,21,8,A,0,58,F,U,60721,14
115,0,0,3,3,1,1,35,25,25,15,18,33,13,6,A,0,61,M,H,64451,4
116,1,50,3,3,3,3,35,30,30,30,22,33,13,6,A,0,66,M,H,52514,6
117,0,0,2,6,0,1,35,32.5,20,0,18,80,13,6,A,0,57,F,U,41855,7
118,0,0,1,13,0,7,35,35,19.46,0,25,127,12,6,A,1,60,F,H,42394,20
119,0,0,6,8,2,3,35,11.83,9.88,9.5,18,44,13,6,A,1,53,F,H,62470,11
120,0,0,1,1,0,0,35,35,35,0,15,15,10,5,F,0,45,F,H,55579,1
121,1,30,2,2,0,0,35,25,25,0,15,28,12,5,L,0,76,F,H,56710,2
122,0,0,2,4,1,1,35,32.5,20.25,35,23,39,13,6,A,0,60,F,H,47308,5
123,0,0,4,7,1,3,35,31.25,23.71,30,18,76,14,6,A,0,67,F,H,36615,10
124,0,0,2,2,1,1,35,27.5,27.5,20,20,33,13,6,A,0,60,F,H,48514,3
125,0,0,1,18,1,12,35,35,9.84,35,15,126,13,5,A,1,74,M,H,54609,30
126,1,44,4,23,3,7,35,46,39,46.33,4,53,34,7,S,1,68,M,H,45561,30
127,0,0,3,3,1,1,35,43.33,43.33,20,16,31,16,6,A,0,79,F,U,50707,4
128,0,0,2,12,1,7,35,32.5,14.17,35,16,91,14,6,A,1,86,F,U,55500,19
129,1,35,2,23,0,7,35,32.5,13.78,0,25,113,25,6,A,1,60,F,U,41329,30
133,1,25,1,13,0,5,34,34,10,0,26,102,12,5,A,1,51,F,H,26974,18
134,1,50,4,8,2,5,34,28,27.63,25,15,55,15,6,A,1,41,M,U,54375,13
135,0,0,5,8,3,4,33,24.4,20.5,23.67,18,53,13,6,A,1,26,M,H,66505,12
136,0,0,1,1,1,1,33,33,33,33,16,16,12,5,F,0,35,M,H,46240,2
137,1,10,3,9,2,4,33,31.33,21,30.5,19,75,15,6,A,1,81,M,U,44284.5,13
138,0,0,1,6,0,2,33,33,28.83,0,26,78,19,8,A,0,75,M,H,105000,8
140,0,0,1,6,0,2,32,32,56.17,0,18,77,18,6,A,0,60,F,U,44284.5,8
141,1,28,4,4,3,3,32,28,28,29,15,26,14,6,N,1,25,F,U,52582,7
142,0,0,4,4,2,2,32,25,25,30,20,28,13,6,A,1,81,F,H,47429,6
143,1,40,3,15,3,13,32,26.33,12.8,26.33,16,127,14,6,A,1,51,M,U,59357,28
144,0,0,4,10,4,9,32,26.75,17.5,26.75,17,93,14,6,S,1,58,M,H,138188,19
147,0,0,3,7,2,4,31,18.33,12.57,12,16,88,12,5,A,0,72,F,U,44284.5,11
148,0,0,2,4,1,2,31,30,25.25,29,18,44,13,6,A,0,60,F,U,44284.5,6
149,0,0,1,5,0,2,31,31,24.4,0,25,64,11,6,A,0,45,M,H,66579,7
151,1,25,2,11,2,10,30,27.5,17,27.5,16,124,9,4,A,1,67,F,H,107272,21
152,0,0,1,5,1,4,30,30,16,30,17,93,13,6,A,0,35,M,H,122794,9
153,1,50,3,5,3,3,30,23.33,25,23.33,15,26,16,6,N,1,68,F,H,69583,8
154,1,30,2,2,1,1,30,27.5,27.5,25,18,24,13,6,N,0,50,F,U,40131,3
155,0,0,3,8,1,4,30,24.67,16.5,20,18,75,14,6,A,0,59,M,U,44284.5,12
156,1,30,1,1,1,1,30,30,30,30,24,24,11,5,N,0,60,M,U,44284.5,2
157,1,10,2,11,2,8,30,27.5,21.09,27.5,16,76,8,4,S,1,60,F,U,44284.5,19
158,0,0,4,29,3,18,30,30,16.48,30,15,129,13,6,S,1,52,F,H,51268,47
159,0,0,3,10,2,6,30,26.67,20,30,18,89,13,6,A,1,60,F,U,44284.5,16
160,1,30,1,1,1,1,30,30,30,30,17,17,11,5,F,0,65,M,H,56250,2
161,0,0,2,9,0,2,30,27.5,23.33,0,15,112,13,6,A,0,60,M,H,40723,11
162,0,0,1,4,0,2,30,30,14.75,0,26,83,5,2,A,0,72,F,U,44284.5,6
163,0,0,3,5,2,4,30,20.33,18.2,15.5,26,41,13,5,A,0,60,F,U,44284.5,9
164,1,30,1,5,0,3,30,30,28,0,17,93,15,6,A,0,60,F,U,44284.5,8
165,0,0,1,4,1,3,30,30,20,30,19,88,13,6,A,0,64,M,H,25380,7
166,0,0,1,8,1,4,30,30,17.13,30,25,77,11,6,A,0,74,M,H,41061,12
167,1,100,2,5,1,2,30,27.5,28,25,26,68,10,5,A,0,78,M,U,44284.5,7
168,1,27,2,2,1,1,30,27.5,27.5,30,16,20,14,6,N,0,54,M,H,33707,3
169,0,0,2,2,2,2,30,30,30,30,23,28,13,6,A,0,48,M,H,88242,4
170,1,30,3,8,2,5,30,24.33,15.63,21.5,16,76,13,6,A,1,60,F,U,44284.5,13
171,0,0,2,3,1,2,30,27.5,20,25,17,45,13,6,A,0,60,M,U,44284.5,5
172,0,0,1,3,1,2,30,30,25,30,17,44,13,6,A,0,45,M,H,37760,5
173,0,0,2,4,1,2,30,27.5,19.25,30,15,56,15,6,A,0,60,F,U,49810,6
174,0,0,1,1,0,0,30,30,30,0,16,16,12,5,F,0,62,F,U,43017,1
175,1,20,3,9,3,7,30,26.67,17.22,26.67,23,92,13,6,A,0,24,M,H,63009,16
176,0,0,2,9,2,6,30,40,17.11,40,16,88,15,6,A,0,67,F,U,37109,15
177,0,0,1,1,0,0,30,30,30,0,20,20,11,5,F,0,76,F,H,47836,1
178,0,0,2,5,0,2,30,21.5,17.8,0,18,104,13,6,A,0,60,F,H,79633,7
179,1,25,2,9,2,8,30,27.5,20.78,27.5,21,112,13,6,A,1,60,F,U,44284.5,17
180,0,0,2,3,0,1,30,18.5,14,0,19,44,13,6,A,0,60,M,U,44284.5,4
181,1,20,3,6,3,4,30,27.67,25.5,27.67,17,44,13,6,S,1,41,F,H,42009,10
182,0,0,2,3,0,1,30,20,15,0,26,43,11,5,A,0,39,M,H,58821,4
183,1,40,2,2,2,2,30,26.5,26.5,26.5,24,33,12,6,A,0,64,M,U,46250,4
184,1,5,1,6,0,2,30,30,21.17,0,18,86,13,6,A,0,87,M,H,60456,8
185,0,0,1,3,1,1,30,30,23.33,30,24,38,11,6,A,0,33,F,H,56996,4
186,1,27,2,8,1,5,30,27.5,20.25,25,18,81,13,6,A,0,77,F,U,83356,13
187,1,30,2,2,2,2,30,27.5,27.5,27.5,17,33,13,6,A,0,55,F,H,29143,4
188,1,26,5,13,3,8,30,25,15.54,23.33,18,130,13,6,A,0,60,M,H,81196,21
189,1,35,2,19,1,14,30,27.5,13.11,30,19,129,13,6,A,1,85,F,U,43514,33
190,1,35,1,8,0,6,30,30,18.13,0,18,113,13,6,A,1,81,M,H,34159,14
191,0,0,1,1,1,1,30,30,30,30,15,15,9,3,E,0,29,F,U,56739,2
192,0,0,5,29,3,19,30,26.2,25,27,18,129,13,6,S,1,83,F,U,44097,48
193,0,0,2,7,1,6,30,28.5,24.57,30,26,110,11,5,A,1,47,F,H,60697,13
194,1,30,1,16,1,11,30,30,17.5,30,21,130,13,6,A,1,42,M,U,55086,27
195,0,0,2,3,2,3,30,25,20,25,23,41,12,6,A,0,42,F,H,69454,6
196,0,0,1,11,1,7,30,30,17.55,30,17,104,14,6,A,0,44,M,H,48968,18
197,1,30,2,10,1,3,30,27.5,17.7,30,8,84,35,8,A,0,50,M,U,50504,13
198,0,0,2,6,0,2,30,23,13,0,18,104,13,6,A,0,76,M,H,48514,8
199,0,0,2,4,0,1,30,27.5,22.5,0,18,41,13,6,A,0,52,F,H,49190,5
209,1,30,2,7,1,3,29,30.5,25.57,32,15,65,14,6,A,0,36,M,H,64196,10
210,0,0,1,5,0,3,29,29,14.8,0,18,93,13,6,A,1,60,F,H,68517,8
211,0,0,3,11,2,5,29,19.67,14.64,21,16,57,14,6,A,0,45,M,H,76843,16
213,0,0,2,11,2,7,28,22,12.09,22,25,79,13,6,A,1,52,F,H,64856,18
214,1,25,5,9,1,4,28,27.8,17.89,25,18,53,12,6,A,1,45,F,H,43731,13
215,1,30,3,13,1,6,28,27,19.92,25,15,93,13,5,L,1,43,F,U,57228,19
216,0,0,1,1,1,1,28,28,28,28,16,16,12,5,F,0,60,M,U,44284.5,2
217,0,0,2,9,2,8,28,25.5,15.33,25.5,17,89,14,6,A,1,60,F,U,44284.5,17
221,1,20,2,4,1,2,27,27,22.25,27,24,81,12,6,A,0,17,M,H,122794,6
222,1,20,13,35,8,18,27,22.69,17.8,22.5,18,91,14,6,S,1,44,F,U,44284.5,53
223,1,20,3,9,3,5,27,27,26.44,27,24,67,8,4,A,1,37,F,H,47500,14
224,0,0,1,4,0,2,27,27,24.25,0,18,65,13,6,A,0,60,M,U,44284.5,6
225,0,0,2,3,1,2,27,26,22.33,25,19,33,18,7,A,0,74,M,H,40054,5
226,1,20,3,27,1,16,27,24.33,9.59,22,15,128,14,6,S,1,36,M,H,46678,43
227,1,32,3,9,1,6,27,24,15.22,25,19,105,13,6,A,1,81,M,U,77218,15
228,0,0,1,2,0,0,27,27,26,0,17,30,13,6,A,0,65,F,H,59766,2
229,0,0,1,5,0,2,27,27,11.8,0,18,77,13,6,A,0,75,F,H,53117,7
230,0,0,6,8,5,7,27,21.67,22.5,24,17,32,26,11,A,1,60,M,U,44284.5,15
234,0,0,2,7,1,3,26,26,24.14,26,24,69,12,6,A,0,71,M,H,81042,10
235,1,36,1,3,0,2,26,26,20.67,0,26,67,10,5,A,0,72,F,H,25265,5
236,1,26,1,5,0,2,26,26,16,0,16,76,11,5,A,0,27,F,H,38906,7
237,0,0,2,14,0,7,26,26,14.86,0,17,110,14,6,A,1,69,F,U,53324,21
238,0,0,2,11,1,7,26,23.5,12.91,21,27,125,11,5,A,1,65,M,U,33333,18
239,1,32,7,15,3,9,26,25.14,17.73,31.33,18,124,15,6,S,1,67,F,U,38328,24
240,0,0,1,2,1,1,26,26,18,26,17,30,11,5,A,0,65,F,H,81921,3
241,0,0,2,8,2,5,26,23.5,14.88,23.5,22,92,12,6,A,0,52,M,H,47949,13
242,1,100,4,9,1,4,26,26.5,26.44,20,15,91,16,6,A,0,41,M,U,43750,13
243,1,10,1,16,0,10,26,26,13.25,0,27,126,27,5,A,1,82,F,H,41397,26
244,0,0,2,17,2,11,26,26,16.71,26,22,124,13,6,A,1,60,F,U,34167,28
247,1,30,1,7,0,3,25,25,13,0,18,75,13,6,A,1,60,M,U,44284.5,10
248,0,0,4,18,4,10,25,26.25,21.61,26.25,17,128,15,6,A,1,42,F,H,87665,28
249,0,0,4,5,3,3,25,21.25,22,20,17,33,13,6,A,0,60,M,U,100910,8
250,0,0,2,32,1,17,25,25,9.44,25,17,126,22,9,A,1,27,M,H,66090,49
251,0,0,1,4,1,3,25,25,16.25,25,17,57,13,6,A,0,60,M,U,44284.5,7
252,0,0,2,7,1,2,25,10,10.71,10,18,69,13,6,A,0,60,M,H,44284.5,9
253,1,40,1,3,0,1,25,40,35,0,18,44,13,6,A,0,43,M,H,72452,4
254,1,25,1,1,1,1,25,25,25,25,21,21,11,5,F,0,42,F,H,54341,2
255,0,0,1,1,1,1,25,25,25,25,21,21,11,5,F,0,40,F,H,74919,2
256,1,23,4,13,2,8,25,22.5,14.38,22.5,15,102,14,6,A,1,50,F,H,64856,21
257,0,0,3,3,1,1,25,19.33,19.33,13,18,29,14,6,A,0,60,M,U,49203,4
258,0,0,1,1,1,1,25,25,25,25,21,21,11,5,N,0,25,M,H,62339,2
259,0,0,3,11,2,4,25,16.67,16.73,17.5,18,52,13,6,A,1,31,M,U,44284.5,15
260,0,0,1,1,1,1,25,25,25,25,17,17,11,5,F,0,60,F,U,95776,2
261,1,30,2,5,1,2,25,20,19.4,20,18,40,12,5,A,0,82,F,H,76673,7
262,1,25,1,34,1,14,25,28,15.85,28,14,122,33,7,A,1,83,F,U,44284.5,48
263,0,0,4,4,3,3,25,18.25,18.25,19.33,17,33,14,6,A,0,33,M,H,71285,7
264,1,21,2,7,1,3,25,25,18.71,25,18,64,15,6,A,0,60,F,U,44284.5,10
265,0,0,2,7,0,2,25,17.5,10.71,0,18,85,13,6,A,0,83,F,H,60273,9
266,0,0,2,3,2,3,25,25,25,25,24,41,11,6,A,0,60,F,U,61655,6
267,1,10,1,1,1,1,25,25,25,25,19,19,9,4,F,0,60,F,H,86282,2
268,1,25,4,13,2,3,25,25,22.69,25,6,113,32,7,A,0,62,F,U,59321,16
269,0,0,3,7,1,4,25,21.67,18.57,20,19,111,13,6,A,0,82,F,U,44284.5,11
270,1,25,1,10,0,5,25,50,20.8,0,18,102,15,6,A,0,69,F,U,44284.5,15
271,0,0,2,5,0,1,25,27.5,22,0,25,75,8,4,A,0,86,M,H,154945,6
272,0,0,2,2,2,2,25,25,25,25,22,29,14,6,A,0,60,F,U,44284.5,4
273,0,0,1,27,0,8,25,25,46.07,0,5,119,27,6,A,1,49,M,H,100789,35
274,0,0,2,4,1,2,25,15.5,9.75,25,18,41,13,6,A,0,67,F,H,105247,6
275,0,0,1,1,1,1,25,25,25,25,17,17,11,5,F,0,69,F,U,27184,2
276,1,10,4,4,3,3,25,11.25,11.25,12.67,16,33,14,6,A,0,60,M,U,44284.5,7
277,0,0,2,4,1,1,25,25,25,25,18,29,14,6,A,0,67,F,H,39838,5
278,0,0,1,1,0,0,25,25,25,0,18,18,11,5,F,0,60,F,U,44284.5,1
279,0,0,7,33,3,13,25,11,7.1,6.67,16,113,14,6,S,1,47,F,U,44284.5,46
280,1,48,6,69,2,14,25,21.33,17.33,19,10,111,29,5,S,1,60,F,H,48639,83
281,1,25,2,12,0,2,25,25,24.75,0,15,103,22,7,A,0,72,F,U,44284.5,14
282,0,0,2,8,1,4,25,25,16.25,25,15,115,12,5,A,1,58,F,H,35000,12
283,0,0,1,1,1,1,25,25,25,25,19,19,10,4,F,0,45,F,H,56544,2
284,1,30,1,2,0,1,25,25,37.5,0,18,44,14,6,A,0,60,M,U,61929,3
285,0,0,1,11,0,6,25,25,15.45,0,18,113,14,6,A,1,60,M,U,45463,17
286,1,15,2,12,1,5,25,25,12.83,25,25,87,13,6,A,1,69,F,H,49558,17
287,0,0,1,9,1,4,25,25,16.33,25,16,101,13,6,A,0,75,M,H,37883,13
288,1,25,2,10,1,8,25,25,14.7,25,24,86,13,6,A,1,73,M,H,63159,18
289,0,0,2,8,0,2,25,25,20.25,0,15,112,13,6,A,0,76,F,H,42757,10
290,1,25,1,37,0,11,25,25,21.27,0,4,129,39,9,A,1,63,M,H,42375,48
291,1,10,1,1,0,0,25,25,25,0,16,16,13,5,F,0,45,F,U,55540,1
292,1,25,2,6,0,2,25,20,11,0,15,67,12,5,A,1,66,F,U,46477,8
293,0,0,1,1,0,0,25,25,25,0,20,20,11,5,F,0,60,M,U,44284.5,1
294,1,25,1,4,0,1,25,25,21.25,0,17,68,12,6,A,0,47,M,H,47256,5
295,0,0,5,14,2,5,25,28.6,17.21,26,12,86,42,7,S,1,78,M,U,71191,19
296,0,0,2,3,0,0,25,22.5,18.33,0,17,42,14,6,A,0,44,M,U,48071,3
297,0,0,1,10,0,6,25,75,48,0,18,93,13,6,A,1,56,M,U,40224,16
298,0,0,4,17,3,12,25,23.75,12.82,23.33,15,126,13,6,A,1,86,M,U,41760,29
299,1,32,3,8,2,5,25,23.33,16.5,25,24,53,12,6,S,1,57,M,H,55923,13
300,0,0,2,10,1,6,25,21,11.9,17,18,112,13,6,A,1,60,F,H,51925,16
301,1,25,3,5,3,3,25,33.33,40,33.33,16,57,15,6,A,0,57,F,U,44284.5,8
302,1,10,2,18,1,4,25,25,24.78,25,18,143,27,6,A,1,86,F,U,101095,22
303,0,0,1,1,1,1,25,25,25,25,17,17,11,5,F,0,72,M,H,42249,2
304,1,24,8,19,6,10,25,20.13,18.42,20.17,6,53,32,11,A,1,38,F,H,75543,29
305,0,0,1,2,0,0,25,25,17.5,0,18,35,13,6,A,0,51,F,H,77675,2
306,1,30,2,8,1,4,25,30,26.25,25,20,105,13,6,A,0,31,M,H,52582,12
307,0,0,1,5,0,3,25,16,13.4,0,17,56,13,6,S,1,37,F,U,34587,8
308,0,0,1,1,1,1,25,25,25,25,23,23,10,4,N,0,69,F,H,55939,2
309,0,0,1,6,0,1,25,25,18.33,0,19,75,13,6,A,0,77,F,U,68338,7
310,1,10,2,2,2,2,25,15,15,15,17,21,13,6,N,0,62,F,H,72040,4
311,0,0,2,6,1,4,25,22.5,13.33,20,24,77,11,6,A,0,60,M,H,45825,10
312,1,20,3,6,0,2,25,15,10.83,0,18,45,15,6,S,1,40,F,U,44284.5,8
313,0,0,1,1,1,1,25,25,25,25,17,17,11,5,F,0,67,M,H,41667,2
314,1,25,1,1,1,1,25,25,25,25,17,17,11,5,F,0,68,F,H,61219,2
315,0,0,2,7,0,3,25,22.5,15,0,26,74,11,5,A,1,32,F,H,42176,10
316,1,30,1,1,1,1,25,25,25,25,15,15,11,5,F,0,54,F,H,56157,2
317,1,25,1,1,1,1,25,25,25,25,23,23,10,4,N,0,71,F,H,56722,2
318,0,0,2,5,1,2,25,25,15,25,24,92,12,6,A,0,60,F,U,44284.5,7
319,0,0,1,5,1,3,25,25,40.4,25,23,97,12,6,A,0,82,F,H,45529,8
320,0,0,2,2,2,2,25,17.5,17.5,17.5,18,29,13,6,A,0,29,F,U,61313,4
321,0,0,1,1,0,0,25,25,25,0,20,20,11,5,F,0,60,M,U,37703,1
322,1,25,1,3,0,0,25,25,23.33,0,18,52,13,6,A,0,48,F,H,42870,3
323,0,0,2,9,1,6,25,23,16.67,25,18,75,13,6,A,1,60,F,H,34897,15
324,0,0,3,8,1,3,25,20,13.75,15,18,77,13,6,A,0,55,F,U,72250,11
325,0,0,2,6,2,5,25,25,40.83,25,22,52,13,6,A,1,42,M,H,72250,11
326,0,0,2,2,1,1,25,15,15,25,24,28,13,6,A,0,60,F,H,62486,3
327,1,32,2,7,1,5,25,22.5,15.29,25,20,78,13,6,S,1,55,M,U,44284.5,12
328,1,30,2,2,1,1,25,14,14,3,18,29,13,6,A,0,63,M,H,27206,3
329,0,0,3,3,2,2,25,15.67,15.67,17.5,16,35,13,6,A,0,60,M,U,44284.5,5
330,0,0,2,9,1,5,25,25,16.33,25,21,76,13,6,A,1,83,F,H,56735,14
