,Potential_Customer,C_ID,Cust_Last_Purchase,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Status_CustN,Total_Pur_3_years,Total_Pur_5_years,Total_Ad_Res_1_year,Total_Ad_Res_3_year,Total_Ad_Res_5_year
33,0,88542,,25.0,25.0,16.25,25.0,17,57,A,0,,M,U,0.0,A,2,7,19,47,62
34,0,88547,,15.0,15.0,15.0,,16,16,F,0,43.0,F,H,73671.0,Others,1,1,15,20,18
35,0,88609,,10.0,8.0,7.06,6.67,17,81,S,1,65.0,F,U,0.0,S,9,25,19,49,86
36,1,88596,14.0,15.0,12.5,10.0,15.0,16,44,A,0,6.0,F,H,67047.0,A,3,5,17,41,46
37,1,88572,15.0,15.0,15.0,15.0,15.0,17,17,F,0,69.0,F,U,67047.0,Others,2,2,13,20,19
38,1,31953,12.0,15.0,15.0,12.22,15.0,25,86,A,0,,M,U,76594.0,A,4,15,20,50,78
39,1,88662,12.0,14.0,12.33,8.77,12.33,15,130,S,1,67.0,M,H,76594.0,S,9,34,20,47,109
40,0,88635,,20.0,10.25,9.6,10.0,22,35,A,0,35.0,M,H,76594.0,A,7,8,18,48,48
41,1,12454,15.0,10.0,12.5,9.0,15.0,17,45,A,0,,M,H,106020.0,A,3,9,33,62,78
42,1,88709,15.0,15.0,15.5,9.56,16.0,26,81,A,1,71.0,F,U,0.0,A,3,15,15,46,77
43,0,88680,,15.0,15.0,15.0,15.0,17,17,F,0,51.0,F,H,106020.0,Others,2,2,15,22,19
44,0,88116,,5.0,9.25,6.68,9.0,16,129,S,1,85.0,F,H,106020.0,S,6,31,18,44,99
45,1,88735,10.0,10.0,8.0,5.88,8.0,21,104,S,1,70.0,F,H,40165.0,S,13,39,18,49,101
46,0,88733,,10.0,8.57,7.78,8.5,17,44,S,1,,F,U,0.0,S,11,13,11,40,46
47,0,89195,,25.0,10.0,10.71,10.0,18,69,A,0,,M,H,0.0,A,3,9,19,45,68
48,1,2935,25.0,20.0,50.0,22.5,50.0,10,17,F,0,,F,H,89773.0,Others,2,5,33,40,38
49,1,88766,15.0,12.0,12.75,11.0,12.0,17,45,S,1,50.0,M,H,89773.0,S,6,11,19,50,56
50,0,7809,,52.0,48.67,38.87,49.5,16,110,S,1,,M,H,87767.0,S,5,34,35,67,145
51,1,88856,4.0,5.0,3.6,3.06,3.6,15,107,A,1,62.0,F,U,87767.0,A,10,29,14,38,85
52,0,88848,,20.0,20.0,18.57,,17,104,A,0,53.0,F,H,87767.0,A,1,13,19,37,92
53,0,88838,,20.0,20.0,23.75,20.0,17,76,A,1,69.0,M,H,87767.0,A,2,7,19,38,69
54,0,88822,,20.0,20.0,17.5,20.0,25,42,A,0,,F,U,0.0,A,5,7,17,48,48
55,1,88802,25.0,10.0,16.0,13.0,16.0,15,17,N,0,66.0,M,H,87767.0,Others,2,3,19,25,22
56,0,88862,,20.0,20.0,20.0,20.0,24,24,N,0,53.0,F,H,118487.0,Others,2,2,10,24,22
57,1,88886,40.0,25.0,40.0,35.0,,18,44,A,0,43.0,M,H,72452.0,A,1,4,19,41,58
58,0,88903,,15.0,15.0,13.0,,26,45,A,0,49.0,F,H,59240.0,A,2,5,13,34,50
59,1,8013,10.0,7.0,10.31,8.29,10.25,17,93,S,1,60.0,F,H,54341.0,S,21,80,46,79,189
60,1,88920,25.0,25.0,25.0,25.0,25.0,21,21,F,0,42.0,F,H,54341.0,Others,2,2,16,26,24
61,0,7776,,12.0,13.0,9.0,18.0,5,68,L,0,67.0,F,U,0.0,Others,4,15,40,67,93
62,1,190839,15.0,15.0,12.5,12.5,10.0,18,28,A,0,41.0,M,H,42613.0,A,3,3,15,34,31
63,1,89030,11.0,10.0,5.33,5.63,5.0,17,40,S,1,72.0,F,H,42613.0,S,10,13,19,47,45
64,0,89026,,50.0,37.5,37.5,37.5,21,29,A,0,65.0,M,H,42613.0,A,4,4,19,40,36
65,0,89071,,20.0,20.0,20.0,,20,20,F,0,67.0,M,H,58282.0,Others,1,1,14,20,21
66,1,31893,20.0,20.0,20.0,20.0,20.0,21,21,F,0,,F,U,40014.0,Others,2,2,14,24,21
67,0,89134,,20.0,20.0,20.0,,15,15,F,0,,M,U,93202.0,Others,1,1,15,19,18
68,0,89176,,30.0,30.0,16.0,30.0,17,93,A,0,35.0,M,H,122794.0,A,2,9,19,44,75
69,1,89174,20.0,27.0,27.0,22.25,27.0,24,81,A,0,17.0,M,H,122794.0,A,3,6,18,48,66
70,1,88868,8.0,8.0,7.67,7.43,7.0,17,28,A,1,73.0,F,H,122794.0,A,10,11,19,36,34
71,1,89209,6.0,7.0,6.4,6.25,6.33,16,116,S,1,50.0,M,H,70182.0,S,8,34,18,43,103
72,0,89227,,10.0,27.5,21.67,27.5,18,33,A,0,,M,U,60513.0,A,4,5,18,44,41
73,0,89274,,6.0,25.0,15.5,25.0,15,17,N,0,43.0,F,H,59456.0,Others,2,3,17,24,21
74,1,89288,15.0,17.0,16.0,10.4,,24,75,A,0,44.0,F,H,59456.0,A,2,7,14,33,67
75,0,89318,,20.0,13.75,10.67,10.0,16,65,S,1,55.0,F,U,0.0,S,5,13,21,52,71
76,1,1293,2.0,5.0,4.8,5.29,4.33,20,92,A,1,75.0,F,H,80104.0,A,8,22,19,50,98
77,1,1064,5.0,5.0,8.57,9.36,10.0,7,121,S,1,69.0,M,U,0.0,S,9,40,41,74,149
78,1,89358,20.0,20.0,15.0,11.67,10.0,18,43,A,0,59.0,M,H,74919.0,A,3,5,18,45,45
79,0,89397,,23.0,23.0,17.17,,17,113,A,0,81.0,M,H,74919.0,A,1,10,8,13,52
80,0,89335,,25.0,25.0,25.0,25.0,21,21,F,0,40.0,F,H,74919.0,Others,2,2,16,26,23
81,0,89334,,15.0,15.0,15.0,15.0,21,21,F,0,51.0,M,U,0.0,Others,2,2,11,21,18
82,1,92814,25.0,15.0,10.0,10.0,10.0,16,31,A,0,33.0,F,U,56686.0,A,4,4,16,34,31
83,0,89409,,20.0,20.0,20.0,,16,16,F,0,36.0,F,H,56686.0,Others,1,1,17,22,20
84,1,89768,11.0,5.0,6.0,5.11,7.0,15,113,S,1,,M,U,60152.0,S,3,27,18,45,98
85,0,89451,,5.0,5.64,6.03,5.5,17,130,S,1,58.0,F,H,68588.0,S,19,57,19,48,110
86,1,89528,11.0,8.0,8.6,7.64,9.0,18,75,A,0,67.0,F,H,55094.0,A,7,17,19,48,74
87,0,89543,,20.0,20.0,20.0,20.0,16,16,F,0,57.0,F,H,83386.0,Others,2,2,16,23,20
88,0,89572,,15.0,15.0,15.0,15.0,16,16,F,0,45.0,M,H,56694.0,Others,2,2,15,22,18
89,0,89649,,10.0,6.67,8.2,5.0,18,103,S,1,43.0,F,U,66661.0,S,4,34,13,34,87
90,1,89653,3.0,7.0,5.57,4.82,5.67,17,124,S,1,80.0,M,H,66661.0,S,13,53,18,47,106
91,1,89642,15.0,15.0,15.0,8.67,,25,87,A,1,,F,U,0.0,A,1,10,13,33,71
92,0,89630,,15.0,12.5,10.0,15.0,17,41,A,0,34.0,F,U,0.0,A,3,4,14,39,40
93,1,89686,25.0,20.0,21.67,18.75,20.0,25,41,A,0,58.0,M,U,0.0,A,4,6,18,49,53
94,0,89675,,15.0,0.0,15.0,,22,22,N,0,62.0,F,H,81018.0,Others,0,1,10,10,17
95,1,89680,15.0,15.0,10.0,10.0,5.0,17,32,A,0,55.0,F,H,81018.0,A,3,3,14,32,29
96,0,89716,,15.0,13.67,10.47,,17,124,S,1,87.0,M,H,81018.0,S,3,20,19,41,100
97,1,89677,15.0,15.0,0.0,15.0,,23,23,N,0,59.0,F,U,81018.0,Others,0,1,11,11,18
98,0,89732,,6.0,7.75,7.17,6.67,19,32,S,1,73.0,F,H,52611.0,S,7,9,18,44,42
99,0,89734,,20.0,17.5,11.6,20.0,20,53,A,1,38.0,M,H,52611.0,A,3,9,19,50,58
100,0,89767,,10.0,7.67,6.83,5.0,18,105,A,0,77.0,M,U,0.0,A,4,15,19,50,83
101,0,89765,,14.0,14.0,11.0,14.33,21,75,A,0,0.0,M,U,54622.0,A,7,12,19,43,68
102,0,89772,,9.0,7.67,6.15,6.67,17,126,F,1,,M,H,90636.0,Others,9,33,28,57,110
103,0,89812,,50.0,34.0,36.64,,18,86,A,0,71.0,F,H,88668.0,A,1,15,19,41,90
104,1,89816,25.0,50.0,50.0,35.0,50.0,17,76,A,0,50.0,M,H,88668.0,A,4,10,19,47,75
105,1,5511,21.0,20.0,15.0,22.18,,17,126,A,1,79.0,M,H,88668.0,A,1,29,36,47,120
106,0,89849,,15.0,15.0,11.67,,26,44,A,0,55.0,F,H,64856.0,A,1,5,13,32,45
107,1,89863,23.0,25.0,22.5,14.38,22.5,15,102,A,1,50.0,F,H,64856.0,A,6,21,20,53,97
108,0,89856,,28.0,22.0,12.09,22.0,25,79,A,1,52.0,F,H,64856.0,A,4,18,19,52,84
109,1,89873,11.0,10.0,10.0,13.25,,18,86,S,1,52.0,F,H,68375.0,S,1,17,19,41,91
110,0,89914,,20.0,20.0,20.0,20.0,24,24,N,0,,F,U,0.0,Others,2,2,11,25,22
111,0,89948,,20.0,20.0,12.33,20.0,21,89,A,1,,M,U,69585.0,A,2,13,18,48,88
112,0,89923,,16.0,11.5,11.5,10.0,18,36,A,1,68.0,F,H,69585.0,A,6,6,18,49,46
113,1,13394,15.0,10.0,8.4,7.4,8.4,18,76,A,0,67.0,F,U,69585.0,A,10,16,28,56,77
114,0,905,,15.0,15.0,10.2,,18,64,A,0,65.0,M,H,64459.0,A,1,6,18,34,72
115,0,89971,,15.0,12.5,12.5,12.5,17,24,N,0,83.0,F,H,64459.0,Others,4,4,11,26,22
116,0,89981,,20.0,20.0,7.43,,25,114,A,0,,M,U,0.0,A,1,10,14,27,74
117,0,89985,,20.0,20.0,20.0,20.0,20,20,F,0,63.0,F,H,47135.0,Others,2,2,14,24,21
118,0,90013,,50.0,50.0,50.0,50.0,16,25,N,0,57.0,F,H,70339.0,Others,4,4,20,39,34
119,1,90031,3.0,5.0,4.75,3.72,5.67,17,128,S,1,81.0,F,U,70339.0,S,7,31,17,40,95
120,0,96505,,17.0,15.67,13.59,16.0,16,104,S,1,72.0,M,H,70339.0,S,8,25,20,53,99
121,1,90080,20.0,20.0,20.0,16.67,20.0,15,35,A,0,,F,U,0.0,A,3,5,18,38,36
122,1,90092,10.0,20.0,22.4,18.46,22.33,15,89,A,1,58.0,F,H,55087.0,A,8,18,20,51,90
123,0,90108,,25.0,19.33,19.33,13.0,18,29,A,0,,M,U,49203.0,A,4,4,20,41,36
124,0,186105,,15.0,13.0,10.17,,9,69,A,0,,M,U,80479.0,A,2,9,23,41,73
125,0,90212,,4.0,23.33,13.83,20.0,20,41,A,0,70.0,M,H,48019.0,A,4,8,18,48,51
126,0,90259,,25.0,25.0,25.0,25.0,21,21,N,0,25.0,M,H,62339.0,Others,2,2,16,26,23
127,0,90299,,15.0,13.83,12.08,12.5,18,53,A,1,64.0,F,H,0.0,A,8,17,19,52,65
128,0,90355,,15.0,15.0,13.67,,26,76,A,0,68.0,F,H,91382.0,A,2,7,13,32,68
129,1,90350,10.0,20.0,16.67,13.33,15.0,26,65,A,0,,U,U,91382.0,A,5,9,15,48,61
130,1,90371,15.0,15.0,11.0,7.17,7.0,16,96,A,0,49.0,M,H,91382.0,A,3,8,17,38,71
131,0,90379,,15.0,15.0,21.0,,25,124,A,0,60.0,M,H,91382.0,A,1,7,13,31,69
132,1,28003,15.0,15.0,15.0,9.2,,18,92,A,0,,F,U,0.0,A,1,7,14,31,54
133,0,90445,,25.0,16.67,16.73,17.5,18,52,A,1,31.0,M,U,0.0,A,5,15,19,50,66
134,0,90461,,20.0,20.0,20.0,20.0,24,24,N,0,63.0,M,H,72339.0,Others,2,2,10,24,21
135,0,90503,,10.0,8.33,7.15,9.0,21,122,A,1,72.0,F,H,72339.0,A,5,41,17,43,108
136,1,89367,3.0,3.0,3.17,3.22,3.21,18,53,S,1,30.0,M,U,0.0,S,16,26,20,50,64
137,1,90480,11.0,11.0,10.75,9.0,10.33,23,65,A,0,55.0,F,H,72339.0,A,7,12,18,41,59
138,0,90481,,5.0,9.0,7.0,9.0,16,76,S,1,56.0,F,H,72339.0,S,6,14,18,43,73
139,1,90482,20.0,16.0,16.0,11.13,16.0,20,75,A,1,47.0,M,H,72339.0,A,2,12,19,45,73
140,0,90483,,3.0,4.25,3.55,4.6,20,77,S,1,75.0,U,H,72339.0,S,13,34,11,43,76
141,0,90494,,15.0,13.5,11.9,,18,124,A,1,45.0,F,H,72339.0,A,2,15,19,39,91
142,1,90499,10.0,8.0,8.63,7.62,8.57,20,130,S,1,45.0,F,H,72339.0,S,15,72,15,48,115
143,1,10384,10.0,18.0,17.0,9.67,18.0,17,128,A,1,73.0,M,U,0.0,A,3,19,22,53,114
144,0,90552,,16.0,16.0,13.0,,18,37,A,0,46.0,F,U,76959.0,A,1,2,14,28,32
145,1,90566,15.0,15.0,15.0,8.43,,25,92,A,0,40.0,F,H,76959.0,A,1,10,13,33,77
146,0,90578,,25.0,25.0,25.0,25.0,17,17,F,0,,F,U,95776.0,Others,2,2,16,23,20
147,0,3965,,50.0,50.0,32.15,,17,126,A,0,,M,H,95776.0,A,2,18,32,54,138
148,1,397,16.0,16.0,16.0,15.86,,20,84,A,0,79.0,F,H,93770.0,A,1,9,19,34,78
149,1,8460,5.0,5.0,5.0,5.0,5.0,6,57,A,0,,F,U,0.0,A,13,71,47,76,111
150,1,93995,10.0,3.0,4.83,3.25,5.0,19,113,S,1,,F,U,0.0,S,8,30,20,52,89
151,0,90674,,20.0,20.0,13.67,,26,81,A,1,75.0,U,H,88147.0,A,1,9,13,30,71
152,1,90680,24.0,18.0,18.0,12.62,,24,92,A,1,49.0,F,U,88147.0,A,1,20,16,35,93
153,0,90660,,20.0,15.0,15.0,20.0,24,32,A,0,53.0,M,H,88147.0,A,3,3,13,34,32
154,1,90694,30.0,25.0,20.0,19.4,20.0,18,40,A,0,82.0,F,H,76673.0,A,3,7,17,50,51
155,1,90727,5.0,5.0,6.4,5.36,6.75,17,122,A,1,51.0,M,H,122155.0,A,9,25,19,45,93
156,1,90765,20.0,20.0,25.0,26.67,25.0,18,44,A,1,,F,U,0.0,A,2,8,21,52,57
157,1,90775,17.0,15.0,15.0,10.71,,24,73,A,0,46.0,M,H,51904.0,A,1,11,16,35,71
158,1,4187,25.0,25.0,28.0,15.85,28.0,14,122,A,1,83.0,F,U,0.0,A,2,48,40,67,159
159,0,4127,,15.0,15.0,12.62,15.0,18,119,A,0,75.0,F,H,51904.0,A,6,21,23,54,108
160,1,90816,20.0,27.0,22.69,17.8,22.5,18,91,S,1,44.0,F,U,0.0,S,21,53,20,52,99
161,0,90849,,10.0,15.0,11.0,10.0,17,105,A,0,22.0,F,H,46071.0,A,3,7,16,35,65
162,0,90857,,10.0,8.57,7.31,7.5,18,130,A,1,79.0,F,H,46071.0,A,9,37,20,53,113
163,0,90842,,20.0,20.0,10.14,,17,74,A,0,73.0,M,H,46071.0,A,1,11,19,34,69
164,0,91877,,10.0,9.25,9.57,10.67,16,44,A,1,,M,H,46250.0,A,7,11,20,48,52
165,1,90899,17.0,17.0,17.0,12.0,17.0,15,85,A,0,58.0,F,H,46250.0,A,2,6,14,33,61
166,0,90909,,10.0,7.5,6.67,5.0,17,22,N,0,63.0,F,H,56172.0,Others,3,4,16,28,25
167,1,90947,25.0,15.0,15.0,15.0,15.0,17,17,F,0,47.0,F,H,52613.0,Others,2,2,14,21,18
168,0,90970,,5.0,10.0,8.33,10.0,19,24,N,0,80.0,F,U,65726.0,Others,4,5,16,29,27
169,0,90974,,15.0,15.0,12.5,,26,52,A,0,69.0,M,U,65726.0,A,1,3,13,27,43
170,0,91001,,21.0,19.33,17.0,23.0,21,37,A,0,45.0,M,H,78804.0,A,5,7,18,45,44
171,0,91018,,5.0,7.57,7.45,7.6,17,57,S,1,71.0,M,U,52266.0,S,12,18,19,52,65
172,0,91022,,15.0,10.0,10.0,5.0,15,27,N,0,59.0,F,H,66631.0,Others,3,3,12,28,25
173,1,91879,20.0,20.0,15.0,12.0,,18,56,A,0,,F,U,0.0,A,2,4,20,33,47
174,0,91031,,20.0,20.0,20.0,,19,20,N,0,72.0,F,U,37529.0,Others,1,2,19,26,25
175,1,6292,20.0,14.0,19.0,13.24,,5,126,A,1,81.0,F,H,70936.0,A,2,33,40,59,147
176,1,91101,25.0,20.0,20.0,16.4,20.0,21,88,A,1,52.0,M,H,74592.0,A,2,8,14,34,70
177,0,138724,,20.0,15.0,10.71,10.0,26,130,A,0,42.0,M,U,0.0,A,3,10,17,42,81
178,0,91156,,8.0,8.25,7.69,9.0,15,90,S,1,74.0,M,H,55028.0,S,5,22,17,46,87
179,0,91134,,20.0,12.5,12.5,20.0,15,15,N,0,,F,U,0.0,Others,3,3,14,20,17
180,1,91194,7.0,9.0,8.0,7.89,9.0,17,130,S,1,47.0,F,H,44714.0,S,7,36,16,36,105
181,0,91285,,15.0,15.0,11.0,,26,57,A,0,47.0,F,H,67436.0,A,1,5,14,31,53
182,0,91288,,46.0,36.33,21.67,43.0,21,89,S,1,75.0,M,U,67436.0,S,5,15,19,49,82
183,0,4240,,15.0,13.0,7.4,11.0,18,76,A,1,,F,U,0.0,A,3,14,14,30,65
184,0,91333,,15.0,15.0,9.5,,26,75,A,1,49.0,F,H,71285.0,A,1,15,15,36,75
185,0,91337,,5.0,10.0,6.17,5.0,22,87,S,1,,F,U,0.0,S,3,19,15,42,79
186,0,91315,,25.0,18.25,18.25,19.33,17,33,A,0,33.0,M,H,71285.0,A,7,7,20,47,44
187,1,186109,8.0,10.0,8.8,8.22,8.5,6,112,S,1,84.0,F,U,65500.0,S,7,36,29,58,119
188,1,91431,50.0,30.0,23.33,25.0,23.33,15,26,N,1,68.0,F,H,69583.0,Others,6,8,22,41,36
189,0,91438,,11.0,6.0,7.67,6.0,19,24,N,0,,M,U,0.0,Others,4,5,18,34,32
190,1,190799,4.0,5.0,4.0,3.06,4.0,17,67,S,1,67.0,F,U,80172.0,S,6,26,16,41,63
191,1,91453,21.0,25.0,25.0,18.71,25.0,18,64,A,0,,F,U,0.0,A,3,10,21,49,75
192,1,91467,8.0,8.0,8.2,6.59,7.67,18,77,S,1,56.0,F,H,61831.0,S,8,26,16,44,79
193,1,7330,6.0,5.0,5.0,4.42,5.0,5,128,S,1,77.0,F,U,61831.0,S,14,84,39,70,172
194,1,91835,5.0,5.0,5.0,5.0,5.0,17,33,A,1,47.0,F,H,69121.0,A,8,11,18,44,43
195,1,91507,14.0,10.0,8.75,8.75,7.5,16,29,A,0,61.0,F,H,69121.0,A,6,6,19,38,33
196,1,91580,4.0,4.0,4.75,4.08,5.0,17,81,S,1,,F,H,60273.0,S,7,23,17,46,77
197,0,91584,,25.0,17.5,10.71,,18,85,A,0,83.0,F,H,60273.0,A,2,9,19,38,77
198,0,91588,,15.0,10.67,9.67,12.5,17,91,A,0,63.0,M,U,0.0,A,5,14,20,50,85
199,1,91591,10.0,15.0,15.0,9.86,,19,105,A,0,,M,U,60273.0,A,1,10,11,26,64
200,1,91627,7.0,8.0,6.5,5.44,6.33,16,129,S,1,70.0,F,U,53341.0,S,7,29,18,40,81
201,0,545,,10.0,13.0,10.86,16.0,17,111,A,0,48.0,F,H,62793.0,A,5,18,30,58,129
202,0,91671,,15.0,15.0,15.0,,16,16,F,0,,M,U,0.0,Others,1,1,14,18,16
203,0,91765,,10.0,8.33,8.46,,18,89,S,1,84.0,F,H,77654.0,S,3,18,19,41,89
204,1,89036,30.0,12.0,11.33,9.5,,16,53,S,1,72.0,F,U,91659.0,S,3,12,19,39,65
205,1,91779,20.0,20.0,20.0,20.0,20.0,17,17,F,0,37.0,F,H,61655.0,Others,2,2,16,23,20
206,1,91787,25.0,15.0,15.0,12.5,15.0,20,44,A,0,51.0,F,H,61655.0,A,2,3,14,33,38
207,0,91789,,15.0,13.75,14.75,12.5,15,80,A,1,37.0,F,H,61655.0,A,6,18,19,50,92
208,0,91795,,10.0,10.0,8.21,10.0,15,113,S,1,,M,H,61655.0,S,3,46,9,23,83
209,0,91635,,25.0,25.0,25.0,25.0,24,41,A,0,,F,U,61655.0,A,4,6,17,50,51
210,1,11704,10.0,11.0,11.0,8.62,11.0,19,88,S,1,71.0,M,H,56942.0,S,5,22,27,56,103
211,1,12330,100.0,100.0,100.0,41.83,,4,125,A,1,,M,U,0.0,A,2,17,33,55,118
212,0,93139,,20.0,14.5,10.67,14.5,19,40,A,0,29.0,F,H,86282.0,A,4,6,18,42,41
213,1,91707,10.0,25.0,25.0,25.0,25.0,19,19,F,0,,F,H,86282.0,Others,2,2,13,21,15
214,1,91756,7.0,7.0,7.0,7.37,7.0,18,126,S,1,39.0,M,H,86282.0,S,11,55,18,51,114
215,1,90894,4.0,5.0,4.22,4.47,4.2,18,81,S,1,,U,U,0.0,S,14,28,19,49,81
216,0,91825,,15.0,8.33,8.33,5.0,17,33,S,1,,F,U,0.0,S,5,5,16,39,34
217,1,11254,25.0,25.0,25.0,22.69,25.0,6,113,A,0,62.0,F,U,59321.0,A,6,16,39,70,132
218,0,93237,,18.0,15.0,12.4,,18,53,A,0,53.0,F,H,67201.0,A,2,7,18,37,56
219,1,91861,12.0,12.0,12.0,10.38,12.0,15,80,A,1,56.0,F,H,67201.0,A,4,22,17,46,83
220,1,91942,3.0,5.0,3.5,3.59,3.67,17,126,S,1,74.0,M,H,71014.0,S,14,45,18,48,109
221,1,7507,10.0,15.0,13.0,10.11,13.0,17,89,S,1,72.0,M,U,71014.0,S,6,52,25,46,113
222,1,11064,10.0,10.0,10.33,10.32,10.4,17,57,S,1,81.0,F,U,71014.0,S,11,28,38,68,107
223,0,91964,,10.0,13.0,8.53,,18,113,A,1,44.0,F,U,66944.0,A,1,26,18,37,96
224,1,91965,16.0,16.0,16.0,12.69,16.0,19,113,S,1,52.0,U,U,0.0,S,9,25,19,52,103
225,0,91966,,20.0,12.5,12.5,,25,31,A,0,,F,H,56988.0,A,2,2,13,26,30
226,0,91284,,12.0,10.33,8.36,10.5,15,56,S,1,22.0,M,H,87470.0,S,10,21,20,52,72
227,0,90473,,18.0,16.67,14.0,16.5,17,50,A,0,,F,U,0.0,A,5,8,18,33,39
228,1,92021,20.0,20.0,20.0,20.0,,20,20,F,1,65.0,M,H,43191.0,Others,1,1,14,21,21
229,0,92033,,15.0,15.0,10.0,15.0,16,65,A,0,65.0,M,H,43191.0,A,4,11,20,50,68
230,0,92028,,15.0,15.0,15.0,,18,45,A,0,47.0,M,H,43191.0,A,2,6,12,29,45
231,1,92052,10.0,10.0,6.67,5.55,5.0,18,124,A,1,84.0,M,H,43191.0,A,4,33,17,44,104
232,1,92085,15.0,15.0,12.5,8.77,12.5,21,113,A,1,78.0,M,H,59014.0,A,4,21,17,40,93
233,0,92508,,25.0,21.67,18.57,20.0,19,111,A,0,82.0,F,U,0.0,A,4,11,19,52,93
234,1,92079,15.0,20.0,15.25,12.31,12.5,18,81,A,1,82.0,M,H,59014.0,A,6,19,19,52,89
235,1,60512,25.0,25.0,50.0,20.8,,18,102,A,0,69.0,U,U,0.0,A,1,15,21,43,99
236,1,92121,15.0,15.0,15.0,15.0,15.0,20,33,A,1,33.0,M,H,74207.0,A,5,5,18,46,42
237,0,92147,,12.0,10.67,10.67,10.67,16,23,N,1,53.0,F,H,81157.0,Others,6,6,20,36,32
